Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,7.016204198469739,6.929231462897479,5.024835707650562,148
method1,Dev2,6.980745885979184,3.978967733861732,5.993086784941441,148
method1,Dev3,6.966153899984702,6.982864274173662,4.032384426905034,148
method1,Dev4,8.030583814442043,4.959886136538919,6.076151492820402,148
method1,Dev5,6.0515499761247975,3.9919357144166994,5.988292331263834,148
method2,Dev1,3.04656400595581,2.020202542840727,7.988293152152541,186
method2,Dev2,4.958039123838868,4.094309295060526,7.078960640775369,186
method2,Dev3,5.98453938120744,6.008728890641592,9.038371736457645,186
method2,Dev4,3.016563171570178,4.012877519536138,5.976526280703252,186
method2,Dev5,3.048777256356118,1.9962777042116917,8.027128002179298,186
method3,Dev1,6.976041288107735,7.904061439235048,2.9768291153593767,155
method3,Dev2,4.9907170511668095,4.998674306227539,4.976713512321487,155
method3,Dev3,4.944683251299699,6.003011510497052,6.012098113578301,155
method3,Dev4,6.940189668795966,4.123162105624265,1.90433598776711,155
method3,Dev5,7.04062629111971,4.990381951760944,4.913754108374349,155
method4,Dev1,4.067812001428541,5.015077367116681,2.9718856235379514,150
method4,Dev2,7.9963994939209835,6.998264411514738,5.949358443983279,150
method4,Dev3,8.0501766448946,7.941566098119023,5.015712366629764,150
method4,Dev4,5.018081801252381,6.057141140725751,1.9545987962239395,150
method4,Dev5,7.967744012269744,4.037596651634339,1.9293848149332353,150
method5,Dev1,9.01806978027542,10.039551597352153,1.0732824384460777,100
method5,Dev2,8.0769018283233,9.954530627260263,0.9887111849756732,100
method5,Dev3,9.998208698044502,10.070139715546805,1.0033764102343963,100
method5,Dev4,10.0782321827907,9.929907446860385,1.928762590689327,100
method5,Dev5,9.869012744795512,10.029342854690013,1.972780863773741,100
method6,Dev1,10.041095125218762,9.109522781290499,1.0055461294854933,105
method6,Dev2,7.0043523534119085,9.950473183743465,1.9424503211288848,105
method6,Dev3,9.985049632476706,9.971685113519861,2.0187849009172836,105
method6,Dev4,10.004588038826775,10.004982568254382,0.9699680655040598,105
method6,Dev5,6.900621554269955,8.97482621729419,0.9854153125103362,105
method7,Dev1,0.9890164056081244,2.9224668284466935,8.96991466938853,189
method7,Dev2,1.0178556285755873,4.003428148740301,7.092613909225447,189
method7,Dev3,1.0738947022370757,1.9468848143136948,8.999325138763103,189
method7,Dev4,3.9740864890863175,2.023679621531759,4.947114453552205,189
method7,Dev5,2.9595753198553405,4.95402878828831,6.04112724560516,189
method8,Dev1,0.9749121478207732,1.077496720250877,9.938957817501448,229
method8,Dev2,1.0457701058851037,2.960837335383188,8.010443179750238,229
method8,Dev3,1.0164375554829843,1.9838969241897162,9.902016493806011,229
method8,Dev4,0.9735119898116481,2.0406758608684834,8.93359069755508,229
method8,Dev5,1.0256633716556678,1.9384567841783023,9.009843061793456,229
method9,Dev1,5.004853877467402,6.0113729967302065,3.0369233289997704,162
method9,Dev2,7.048432249526645,6.0653571377141215,4.008568414059498,162
method9,Dev3,3.9648973453061322,4.919625838271939,6.994217585880588,162
method9,Dev4,3.9836168926701117,4.009231692926615,3.9849448152205356,162
method9,Dev5,2.980394592343392,6.012994139712421,5.9260739004816285,162
method10,Dev1,6.926824252593394,10.039091143588866,0.9640077895802646,102
method10,Dev2,10.014806013853228,8.938152464456095,0.9769680614520106,102
method10,Dev3,8.013052763608995,9.933977169345786,1.0528561113109458,102
method10,Dev4,10.000255672832123,9.026097078280845,1.017180914478423,102
method10,Dev5,7.9882706433312425,9.014849233661659,2.911847992231863,102
